crop,stage,days_from_sowing_min,days_from_sowing_max,key_task,water_need
cotton,sowing,110,105,sowing management for cotton,low
cotton,vegetative,16,70,vegetative management for cotton,low
cotton,flowering,97,71,flowering management for cotton,low
cotton,fruiting,16,113,fruiting management for cotton,medium
cotton,harvest,59,40,harvest management for cotton,low
wheat,sowing,4,70,sowing management for wheat,medium
wheat,vegetative,65,87,vegetative management for wheat,high
wheat,flowering,30,43,flowering management for wheat,medium
wheat,fruiting,12,44,fruiting management for wheat,high
wheat,harvest,39,34,harvest management for wheat,low
paddy,sowing,58,130,sowing management for paddy,high
paddy,vegetative,61,76,vegetative management for paddy,medium
paddy,flowering,17,134,flowering management for paddy,low
paddy,fruiting,22,88,fruiting management for paddy,high
paddy,harvest,1,67,harvest management for paddy,high
paddy,sowing,15,157,sowing management for paddy,low
paddy,vegetative,43,151,vegetative management for paddy,high
paddy,flowering,83,98,flowering management for paddy,low
paddy,fruiting,65,66,fruiting management for paddy,low
paddy,harvest,16,150,harvest management for paddy,medium
tomato,sowing,70,97,sowing management for tomato,medium
tomato,vegetative,20,93,vegetative management for tomato,high
tomato,flowering,62,75,flowering management for tomato,low
tomato,fruiting,93,130,fruiting management for tomato,medium
tomato,harvest,73,177,harvest management for tomato,medium
soybean,sowing,70,94,sowing management for soybean,medium
soybean,vegetative,22,144,vegetative management for soybean,low
soybean,flowering,109,113,flowering management for soybean,high
soybean,fruiting,10,87,fruiting management for soybean,low
soybean,harvest,12,100,harvest management for soybean,high
maize,sowing,4,54,sowing management for maize,medium
maize,vegetative,66,39,vegetative management for maize,high
maize,flowering,74,134,flowering management for maize,medium
maize,fruiting,72,95,fruiting management for maize,low
maize,harvest,87,130,harvest management for maize,low
maize,sowing,97,91,sowing management for maize,low
maize,vegetative,85,44,vegetative management for maize,high
maize,flowering,28,32,flowering management for maize,low
maize,fruiting,59,140,fruiting management for maize,low
maize,harvest,24,88,harvest management for maize,low
sugarcane,sowing,74,175,sowing management for sugarcane,low
sugarcane,vegetative,82,153,vegetative management for sugarcane,medium
sugarcane,flowering,118,104,flowering management for sugarcane,high
sugarcane,fruiting,19,170,fruiting management for sugarcane,medium
sugarcane,harvest,49,146,harvest management for sugarcane,high
groundnut,sowing,55,39,sowing management for groundnut,medium
groundnut,vegetative,81,38,vegetative management for groundnut,high
groundnut,flowering,59,135,flowering management for groundnut,high
groundnut,fruiting,13,166,fruiting management for groundnut,low
groundnut,harvest,76,171,harvest management for groundnut,medium
groundnut,sowing,106,34,sowing management for groundnut,low
groundnut,vegetative,80,65,vegetative management for groundnut,low
