crop,variety_name,duration_days,region
cotton,Cotton Hybrid 1,90,Pan-India (verify locally)
cotton,Cotton Improved 2,105,Pan-India (verify locally)
cotton,Cotton Local 3,120,Pan-India (verify locally)
cotton,Cotton Bold 4,135,Pan-India (verify locally)
cotton,Cotton Early 5,150,Pan-India (verify locally)
cotton,Cotton Late 6,165,Pan-India (verify locally)
cotton,Cotton Resistant 7,180,Pan-India (verify locally)
cotton,Cotton Dwarf 8,195,Pan-India (verify locally)
wheat,Wheat Hybrid 1,90,Pan-India (verify locally)
wheat,Wheat Improved 2,105,Pan-India (verify locally)
wheat,Wheat Local 3,120,Pan-India (verify locally)
wheat,Wheat Bold 4,135,Pan-India (verify locally)
wheat,Wheat Early 5,150,Pan-India (verify locally)
wheat,Wheat Late 6,165,Pan-India (verify locally)
wheat,Wheat Resistant 7,180,Pan-India (verify locally)
wheat,Wheat Dwarf 8,195,Pan-India (verify locally)
paddy,Paddy Hybrid 1,90,Pan-India (verify locally)
paddy,Paddy Improved 2,105,Pan-India (verify locally)
paddy,Paddy Local 3,120,Pan-India (verify locally)
paddy,Paddy Bold 4,135,Pan-India (verify locally)
paddy,Paddy Early 5,150,Pan-India (verify locally)
paddy,Paddy Late 6,165,Pan-India (verify locally)
paddy,Paddy Resistant 7,180,Pan-India (verify locally)
paddy,Paddy Dwarf 8,195,Pan-India (verify locally)
paddy,Paddy Hybrid 1,90,Pan-India (verify locally)
paddy,Paddy Improved 2,105,Pan-India (verify locally)
paddy,Paddy Local 3,120,Pan-India (verify locally)
paddy,Paddy Bold 4,135,Pan-India (verify locally)
paddy,Paddy Early 5,150,Pan-India (verify locally)
paddy,Paddy Late 6,165,Pan-India (verify locally)
paddy,Paddy Resistant 7,180,Pan-India (verify locally)
paddy,Paddy Dwarf 8,195,Pan-India (verify locally)
tomato,Tomato Hybrid 1,90,Pan-India (verify locally)
tomato,Tomato Improved 2,105,Pan-India (verify locally)
tomato,Tomato Local 3,120,Pan-India (verify locally)
tomato,Tomato Bold 4,135,Pan-India (verify locally)
tomato,Tomato Early 5,150,Pan-India (verify locally)
tomato,Tomato Late 6,165,Pan-India (verify locally)
tomato,Tomato Resistant 7,180,Pan-India (verify locally)
tomato,Tomato Dwarf 8,195,Pan-India (verify locally)
soybean,Soybean Hybrid 1,90,Pan-India (verify locally)
soybean,Soybean Improved 2,105,Pan-India (verify locally)
soybean,Soybean Local 3,120,Pan-India (verify locally)
soybean,Soybean Bold 4,135,Pan-India (verify locally)
soybean,Soybean Early 5,150,Pan-India (verify locally)
soybean,Soybean Late 6,165,Pan-India (verify locally)
soybean,Soybean Resistant 7,180,Pan-India (verify locally)
soybean,Soybean Dwarf 8,195,Pan-India (verify locally)
maize,Maize Hybrid 1,90,Pan-India (verify locally)
maize,Maize Improved 2,105,Pan-India (verify locally)
maize,Maize Local 3,120,Pan-India (verify locally)
maize,Maize Bold 4,135,Pan-India (verify locally)
maize,Maize Early 5,150,Pan-India (verify locally)
maize,Maize Late 6,165,Pan-India (verify locally)
maize,Maize Resistant 7,180,Pan-India (verify locally)
maize,Maize Dwarf 8,195,Pan-India (verify locally)
maize,Maize Hybrid 1,90,Pan-India (verify locally)
maize,Maize Improved 2,105,Pan-India (verify locally)
maize,Maize Local 3,120,Pan-India (verify locally)
maize,Maize Bold 4,135,Pan-India (verify locally)
maize,Maize Early 5,150,Pan-India (verify locally)
maize,Maize Late 6,165,Pan-India (verify locally)
maize,Maize Resistant 7,180,Pan-India (verify locally)
maize,Maize Dwarf 8,195,Pan-India (verify locally)
sugarcane,Sugarcane Hybrid 1,90,Pan-India (verify locally)
sugarcane,Sugarcane Improved 2,105,Pan-India (verify locally)
sugarcane,Sugarcane Local 3,120,Pan-India (verify locally)
sugarcane,Sugarcane Bold 4,135,Pan-India (verify locally)
sugarcane,Sugarcane Early 5,150,Pan-India (verify locally)
sugarcane,Sugarcane Late 6,165,Pan-India (verify locally)
sugarcane,Sugarcane Resistant 7,180,Pan-India (verify locally)
sugarcane,Sugarcane Dwarf 8,195,Pan-India (verify locally)
groundnut,Groundnut Hybrid 1,90,Pan-India (verify locally)
groundnut,Groundnut Improved 2,105,Pan-India (verify locally)
groundnut,Groundnut Local 3,120,Pan-India (verify locally)
groundnut,Groundnut Bold 4,135,Pan-India (verify locally)
groundnut,Groundnut Early 5,150,Pan-India (verify locally)
groundnut,Groundnut Late 6,165,Pan-India (verify locally)
groundnut,Groundnut Resistant 7,180,Pan-India (verify locally)
groundnut,Groundnut Dwarf 8,195,Pan-India (verify locally)
groundnut,Groundnut Hybrid 1,90,Pan-India (verify locally)
groundnut,Groundnut Improved 2,105,Pan-India (verify locally)
groundnut,Groundnut Local 3,120,Pan-India (verify locally)
groundnut,Groundnut Bold 4,135,Pan-India (verify locally)
groundnut,Groundnut Early 5,150,Pan-India (verify locally)
groundnut,Groundnut Late 6,165,Pan-India (verify locally)
groundnut,Groundnut Resistant 7,180,Pan-India (verify locally)
groundnut,Groundnut Dwarf 8,195,Pan-India (verify locally)
chilli,Chilli Hybrid 1,90,Pan-India (verify locally)
chilli,Chilli Improved 2,105,Pan-India (verify locally)
chilli,Chilli Local 3,120,Pan-India (verify locally)
chilli,Chilli Bold 4,135,Pan-India (verify locally)
chilli,Chilli Early 5,150,Pan-India (verify locally)
chilli,Chilli Late 6,165,Pan-India (verify locally)
chilli,Chilli Resistant 7,180,Pan-India (verify locally)
chilli,Chilli Dwarf 8,195,Pan-India (verify locally)
chilli,Chilli Hybrid 1,90,Pan-India (verify locally)
chilli,Chilli Improved 2,105,Pan-India (verify locally)
chilli,Chilli Local 3,120,Pan-India (verify locally)
chilli,Chilli Bold 4,135,Pan-India (verify locally)
chilli,Chilli Early 5,150,Pan-India (verify locally)
chilli,Chilli Late 6,165,Pan-India (verify locally)
chilli,Chilli Resistant 7,180,Pan-India (verify locally)
chilli,Chilli Dwarf 8,195,Pan-India (verify locally)
onion,Onion Hybrid 1,90,Pan-India (verify locally)
onion,Onion Improved 2,105,Pan-India (verify locally)
onion,Onion Local 3,120,Pan-India (verify locally)
onion,Onion Bold 4,135,Pan-India (verify locally)
onion,Onion Early 5,150,Pan-India (verify locally)
onion,Onion Late 6,165,Pan-India (verify locally)
onion,Onion Resistant 7,180,Pan-India (verify locally)
onion,Onion Dwarf 8,195,Pan-India (verify locally)
potato,Potato Hybrid 1,90,Pan-India (verify locally)
potato,Potato Improved 2,105,Pan-India (verify locally)
potato,Potato Local 3,120,Pan-India (verify locally)
potato,Potato Bold 4,135,Pan-India (verify locally)
potato,Potato Early 5,150,Pan-India (verify locally)
potato,Potato Late 6,165,Pan-India (verify locally)
potato,Potato Resistant 7,180,Pan-India (verify locally)
potato,Potato Dwarf 8,195,Pan-India (verify locally)
mustard,Mustard Hybrid 1,90,Pan-India (verify locally)
mustard,Mustard Improved 2,105,Pan-India (verify locally)
mustard,Mustard Local 3,120,Pan-India (verify locally)
mustard,Mustard Bold 4,135,Pan-India (verify locally)
mustard,Mustard Early 5,150,Pan-India (verify locally)
mustard,Mustard Late 6,165,Pan-India (verify locally)
mustard,Mustard Resistant 7,180,Pan-India (verify locally)
mustard,Mustard Dwarf 8,195,Pan-India (verify locally)
sunflower,Sunflower Hybrid 1,90,Pan-India (verify locally)
sunflower,Sunflower Improved 2,105,Pan-India (verify locally)
sunflower,Sunflower Local 3,120,Pan-India (verify locally)
sunflower,Sunflower Bold 4,135,Pan-India (verify locally)
sunflower,Sunflower Early 5,150,Pan-India (verify locally)
sunflower,Sunflower Late 6,165,Pan-India (verify locally)
sunflower,Sunflower Resistant 7,180,Pan-India (verify locally)
sunflower,Sunflower Dwarf 8,195,Pan-India (verify locally)
bajra,Bajra Hybrid 1,90,Pan-India (verify locally)
bajra,Bajra Improved 2,105,Pan-India (verify locally)
bajra,Bajra Local 3,120,Pan-India (verify locally)
bajra,Bajra Bold 4,135,Pan-India (verify locally)
bajra,Bajra Early 5,150,Pan-India (verify locally)
bajra,Bajra Late 6,165,Pan-India (verify locally)
bajra,Bajra Resistant 7,180,Pan-India (verify locally)
bajra,Bajra Dwarf 8,195,Pan-India (verify locally)
pearl_millet,Pearl_Millet Hybrid 1,90,Pan-India (verify locally)
pearl_millet,Pearl_Millet Improved 2,105,Pan-India (verify locally)
pearl_millet,Pearl_Millet Local 3,120,Pan-India (verify locally)
pearl_millet,Pearl_Millet Bold 4,135,Pan-India (verify locally)
pearl_millet,Pearl_Millet Early 5,150,Pan-India (verify locally)
pearl_millet,Pearl_Millet Late 6,165,Pan-India (verify locally)
pearl_millet,Pearl_Millet Resistant 7,180,Pan-India (verify locally)
pearl_millet,Pearl_Millet Dwarf 8,195,Pan-India (verify locally)
jowar,Jowar Hybrid 1,90,Pan-India (verify locally)
jowar,Jowar Improved 2,105,Pan-India (verify locally)
jowar,Jowar Local 3,120,Pan-India (verify locally)
jowar,Jowar Bold 4,135,Pan-India (verify locally)
jowar,Jowar Early 5,150,Pan-India (verify locally)
jowar,Jowar Late 6,165,Pan-India (verify locally)
jowar,Jowar Resistant 7,180,Pan-India (verify locally)
jowar,Jowar Dwarf 8,195,Pan-India (verify locally)
sorghum,Sorghum Hybrid 1,90,Pan-India (verify locally)
sorghum,Sorghum Improved 2,105,Pan-India (verify locally)
sorghum,Sorghum Local 3,120,Pan-India (verify locally)
sorghum,Sorghum Bold 4,135,Pan-India (verify locally)
sorghum,Sorghum Early 5,150,Pan-India (verify locally)
sorghum,Sorghum Late 6,165,Pan-India (verify locally)
sorghum,Sorghum Resistant 7,180,Pan-India (verify locally)
sorghum,Sorghum Dwarf 8,195,Pan-India (verify locally)
chickpea,Chickpea Hybrid 1,90,Pan-India (verify locally)
chickpea,Chickpea Improved 2,105,Pan-India (verify locally)
chickpea,Chickpea Local 3,120,Pan-India (verify locally)
chickpea,Chickpea Bold 4,135,Pan-India (verify locally)
chickpea,Chickpea Early 5,150,Pan-India (verify locally)
chickpea,Chickpea Late 6,165,Pan-India (verify locally)
chickpea,Chickpea Resistant 7,180,Pan-India (verify locally)
chickpea,Chickpea Dwarf 8,195,Pan-India (verify locally)
chickpea,Chickpea Hybrid 1,90,Pan-India (verify locally)
chickpea,Chickpea Improved 2,105,Pan-India (verify locally)
chickpea,Chickpea Local 3,120,Pan-India (verify locally)
chickpea,Chickpea Bold 4,135,Pan-India (verify locally)
chickpea,Chickpea Early 5,150,Pan-India (verify locally)
chickpea,Chickpea Late 6,165,Pan-India (verify locally)
chickpea,Chickpea Resistant 7,180,Pan-India (verify locally)
chickpea,Chickpea Dwarf 8,195,Pan-India (verify locally)
lentil,Lentil Hybrid 1,90,Pan-India (verify locally)
lentil,Lentil Improved 2,105,Pan-India (verify locally)
lentil,Lentil Local 3,120,Pan-India (verify locally)
lentil,Lentil Bold 4,135,Pan-India (verify locally)
lentil,Lentil Early 5,150,Pan-India (verify locally)
lentil,Lentil Late 6,165,Pan-India (verify locally)
lentil,Lentil Resistant 7,180,Pan-India (verify locally)
lentil,Lentil Dwarf 8,195,Pan-India (verify locally)
moong,Moong Hybrid 1,90,Pan-India (verify locally)
moong,Moong Improved 2,105,Pan-India (verify locally)
moong,Moong Local 3,120,Pan-India (verify locally)
moong,Moong Bold 4,135,Pan-India (verify locally)
moong,Moong Early 5,150,Pan-India (verify locally)
moong,Moong Late 6,165,Pan-India (verify locally)
moong,Moong Resistant 7,180,Pan-India (verify locally)
moong,Moong Dwarf 8,195,Pan-India (verify locally)
urad,Urad Hybrid 1,90,Pan-India (verify locally)
urad,Urad Improved 2,105,Pan-India (verify locally)
urad,Urad Local 3,120,Pan-India (verify locally)
urad,Urad Bold 4,135,Pan-India (verify locally)
urad,Urad Early 5,150,Pan-India (verify locally)
urad,Urad Late 6,165,Pan-India (verify locally)
urad,Urad Resistant 7,180,Pan-India (verify locally)
urad,Urad Dwarf 8,195,Pan-India (verify locally)
pigeon pea,Pigeon Pea Hybrid 1,90,Pan-India (verify locally)
pigeon pea,Pigeon Pea Improved 2,105,Pan-India (verify locally)
pigeon pea,Pigeon Pea Local 3,120,Pan-India (verify locally)
pigeon pea,Pigeon Pea Bold 4,135,Pan-India (verify locally)
pigeon pea,Pigeon Pea Early 5,150,Pan-India (verify locally)
pigeon pea,Pigeon Pea Late 6,165,Pan-India (verify locally)
pigeon pea,Pigeon Pea Resistant 7,180,Pan-India (verify locally)
pigeon pea,Pigeon Pea Dwarf 8,195,Pan-India (verify locally)
pigeon_pea,Pigeon_Pea Hybrid 1,90,Pan-India (verify locally)
pigeon_pea,Pigeon_Pea Improved 2,105,Pan-India (verify locally)
pigeon_pea,Pigeon_Pea Local 3,120,Pan-India (verify locally)
pigeon_pea,Pigeon_Pea Bold 4,135,Pan-India (verify locally)
pigeon_pea,Pigeon_Pea Early 5,150,Pan-India (verify locally)
pigeon_pea,Pigeon_Pea Late 6,165,Pan-India (verify locally)
pigeon_pea,Pigeon_Pea Resistant 7,180,Pan-India (verify locally)
pigeon_pea,Pigeon_Pea Dwarf 8,195,Pan-India (verify locally)
banana,Banana Hybrid 1,90,Pan-India (verify locally)
banana,Banana Improved 2,105,Pan-India (verify locally)
banana,Banana Local 3,120,Pan-India (verify locally)
