crop,category,season,water_need
cotton,field,kharif,medium
wheat,field,rabi,medium
paddy,field,kharif,high
paddy,field,kharif,high
tomato,horticulture,rabi,medium
soybean,field,kharif,medium
maize,field,kharif,medium
maize,field,kharif,medium
sugarcane,field,rabi,high
groundnut,field,rabi,medium
groundnut,field,rabi,medium
chilli,field,rabi,medium
chilli,field,rabi,medium
onion,field,rabi,medium
potato,field,rabi,medium
mustard,field,rabi,medium
sunflower,field,rabi,medium
bajra,field,rabi,medium
pearl_millet,field,rabi,medium
jowar,field,rabi,medium
sorghum,field,rabi,medium
chickpea,field,rabi,medium
chickpea,field,rabi,medium
lentil,field,rabi,medium
moong,field,rabi,medium
urad,field,rabi,medium
pigeon pea,field,rabi,medium
pigeon_pea,field,rabi,medium
banana,horticulture,rabi,high
mango,horticulture,rabi,medium
grapes,horticulture,rabi,medium
apple,field,rabi,medium
citrus,field,rabi,medium
orange,field,rabi,medium
papaya,field,rabi,medium
brinjal,field,rabi,medium
brinjal,field,rabi,medium
cabbage,field,rabi,medium
cauliflower,field,rabi,medium
okra,field,rabi,medium
okra,field,rabi,medium
turmeric,field,rabi,medium
ginger,field,rabi,medium
coffee,field,rabi,medium
tea,field,rabi,medium
coconut,field,rabi,medium
arecanut,field,rabi,medium
barley,field,rabi,medium
oats,field,rabi,medium
ragi,field,rabi,medium
finger_millet,field,rabi,medium
foxtail_millet,field,rabi,medium
castor,field,rabi,medium
sesame,field,rabi,medium
sesame,field,rabi,medium
linseed,field,rabi,medium
flax,field,rabi,medium
niger,field,rabi,medium
watermelon,field,rabi,medium
muskmelon,field,rabi,medium
cucumber,field,rabi,medium
pumpkin,field,rabi,medium
bottle_gourd,field,rabi,medium
bitter_gourd,field,rabi,medium
ridge_gourd,field,rabi,medium
sponge_gourd,field,rabi,medium
drumstick,field,rabi,medium
moringa,field,rabi,medium
guava,field,rabi,medium
pomegranate,field,rabi,medium
sapota,field,rabi,medium
sapota,field,rabi,medium
lychee,field,rabi,medium
jackfruit,field,rabi,medium
pineapple,field,rabi,medium
strawberry,field,rabi,medium
blueberry,field,rabi,medium
pear,field,rabi,medium
plum,field,rabi,medium
peach,field,rabi,medium
tobacco,field,rabi,medium
mentha,field,rabi,medium
mint,field,rabi,medium
coriander,field,rabi,medium
cumin,field,rabi,medium
fennel,field,rabi,medium
fenugreek,field,rabi,medium
fenugreek,field,rabi,medium
isabgol,field,rabi,medium
psyllium,field,rabi,medium
safflower,field,rabi,medium
niger_seed,field,rabi,medium
berseem,field,rabi,medium
lucerne,field,rabi,medium
alfalfa,field,rabi,medium
hybrid_napier,field,rabi,medium
marigold,field,rabi,medium
