crop,basal_npk,top_dress_n,micronutrients,organic_alternative
cotton,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
wheat,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
paddy,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
paddy,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
tomato,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
soybean,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
maize,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
maize,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
sugarcane,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
groundnut,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
groundnut,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
chilli,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
chilli,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
