date,market,crop,min_price_inr_quintal,max_price_inr_quintal,modal_price_inr_quintal
2026-05-20,Warangal,cotton,1974,2474,2174
2026-05-20,Guntur,cotton,1858,2358,2058
2026-05-20,Nashik,cotton,1640,2140,1840
2026-05-20,Ludhiana,cotton,2345,2845,2545
2026-05-20,Hyderabad,cotton,1610,2110,1810
2026-05-20,Warangal,wheat,7719,8219,7919
2026-05-20,Guntur,wheat,6168,6668,6368
2026-05-20,Nashik,wheat,7711,8211,7911
2026-05-20,Ludhiana,wheat,6522,7022,6722
2026-05-20,Hyderabad,wheat,6030,6530,6230
2026-05-20,Warangal,paddy,1103,1603,1303
2026-05-20,Guntur,paddy,4231,4731,4431
2026-05-20,Nashik,paddy,6674,7174,6874
2026-05-20,Ludhiana,paddy,7218,7718,7418
2026-05-20,Hyderabad,paddy,7214,7714,7414
2026-05-20,Warangal,paddy,4992,5492,5192
2026-05-20,Guntur,paddy,2199,2699,2399
2026-05-20,Nashik,paddy,7953,8453,8153
2026-05-20,Ludhiana,paddy,5148,5648,5348
2026-05-20,Hyderabad,paddy,7001,7501,7201
2026-05-20,Warangal,tomato,2488,2988,2688
2026-05-20,Guntur,tomato,7632,8132,7832
2026-05-20,Nashik,tomato,3644,4144,3844
2026-05-20,Ludhiana,tomato,1163,1663,1363
2026-05-20,Hyderabad,tomato,6038,6538,6238
2026-05-20,Warangal,soybean,3313,3813,3513
2026-05-20,Guntur,soybean,6316,6816,6516
2026-05-20,Nashik,soybean,3437,3937,3637
2026-05-20,Ludhiana,soybean,1020,1520,1220
2026-05-20,Hyderabad,soybean,5230,5730,5430
2026-05-20,Warangal,maize,7149,7649,7349
2026-05-20,Guntur,maize,3776,4276,3976
2026-05-20,Nashik,maize,7243,7743,7443
2026-05-20,Ludhiana,maize,4547,5047,4747
2026-05-20,Hyderabad,maize,8207,8707,8407
2026-05-20,Warangal,maize,1717,2217,1917
2026-05-20,Guntur,maize,7748,8248,7948
2026-05-20,Nashik,maize,1748,2248,1948
2026-05-20,Ludhiana,maize,4107,4607,4307
2026-05-20,Hyderabad,maize,4593,5093,4793
2026-05-20,Warangal,sugarcane,1335,1835,1535
2026-05-20,Guntur,sugarcane,1649,2149,1849
2026-05-20,Nashik,sugarcane,4135,4635,4335
2026-05-20,Ludhiana,sugarcane,4571,5071,4771
2026-05-20,Hyderabad,sugarcane,2485,2985,2685
2026-05-20,Warangal,groundnut,6382,6882,6582
2026-05-20,Guntur,groundnut,5682,6182,5882
2026-05-20,Nashik,groundnut,4123,4623,4323
2026-05-20,Ludhiana,groundnut,2277,2777,2477
2026-05-20,Hyderabad,groundnut,7251,7751,7451
2026-05-20,Warangal,groundnut,7197,7697,7397
2026-05-20,Guntur,groundnut,3997,4497,4197
2026-05-20,Nashik,groundnut,7668,8168,7868
2026-05-20,Ludhiana,groundnut,3876,4376,4076
2026-05-20,Hyderabad,groundnut,4969,5469,5169
2026-05-20,Warangal,chilli,1002,1502,1202
2026-05-20,Guntur,chilli,7911,8411,8111
2026-05-20,Nashik,chilli,4473,4973,4673
2026-05-20,Ludhiana,chilli,6304,6804,6504
2026-05-20,Hyderabad,chilli,2073,2573,2273
2026-05-20,Warangal,chilli,4857,5357,5057
2026-05-20,Guntur,chilli,7526,8026,7726
2026-05-20,Nashik,chilli,6753,7253,6953
2026-05-20,Ludhiana,chilli,3409,3909,3609
2026-05-20,Hyderabad,chilli,3207,3707,3407
2026-05-20,Warangal,onion,2137,2637,2337
2026-05-20,Guntur,onion,1660,2160,1860
2026-05-20,Nashik,onion,1467,1967,1667
2026-05-20,Ludhiana,onion,3837,4337,4037
2026-05-20,Hyderabad,onion,4536,5036,4736
2026-05-20,Warangal,potato,3987,4487,4187
2026-05-20,Guntur,potato,4632,5132,4832
2026-05-20,Nashik,potato,4730,5230,4930
2026-05-20,Ludhiana,potato,2138,2638,2338
2026-05-20,Hyderabad,potato,6200,6700,6400
2026-05-20,Warangal,mustard,1226,1726,1426
2026-05-20,Guntur,mustard,2551,3051,2751
2026-05-20,Nashik,mustard,8013,8513,8213
2026-05-20,Ludhiana,mustard,4831,5331,5031
2026-05-20,Hyderabad,mustard,2460,2960,2660
2026-05-20,Warangal,sunflower,5968,6468,6168
2026-05-20,Guntur,sunflower,1712,2212,1912
2026-05-20,Nashik,sunflower,2334,2834,2534
2026-05-20,Ludhiana,sunflower,6555,7055,6755
2026-05-20,Hyderabad,sunflower,3623,4123,3823
